,Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,Unnamed: 15,Unnamed: 16,Unnamed: 17
173,VIA MARIS,TERRESTRE,104.17,,,,,,,,,,,,104.17,Pequeño,Poco Frecuente,
174,DOS PUNTO CERO,TERRESTRE,"6,862.05","1,329.38",,,,,,,,790.94,,,"8,982.37",Mediano,Poco Frecuente,
175,HIMALAYA RIO CUARTO,AÉREO,,,,,,"5,259.57",,,,865.08,,"2,085.13","8,209.78",Mediano,Poco Frecuente,
176,HIMALAYA RIO CUARTO,TERRESTRE,,198.69,,,,,,,,,,,198.69,Pequeño,Poco Frecuente,
177,DANIELE & BREZZO VIAJE,AÉREO,,,,,,,,149.37,,,,,149.37,Pequeño,Poco Frecuente,
178,DANIELE & BREZZO VIAJE,TERRESTRE,,,,,,"8,194.82",,,,,,,"8,194.82",Mediano,Poco Frecuente,
179,PASEO TURISTICO,AÉREO,"4,947.58",,,,,"1,792.08",,,,,,"1,540.00","8,279.65",Mediano,Poco Frecuente,
180,AGADEZ VIAJES,AÉREO,,,,,,"4,255.05","2,108.49",,,,,,"6,363.54",Mediano,Poco Frecuente,
181,AGADEZ VIAJES,TERRESTRE,,,,,,,"1,868.00",,,,,,"1,868.00",Mediano,Poco Frecuente,
182,NATIVO VIAJES,AÉREO,"7,542.01",463.08,,,,,,,,,,,"8,005.09",Mediano,Poco Frecuente,
183,AMBAR VIAJES,AÉREO,725.07,"2,506.28",,,,,,,"2,788.01",,,,"6,019.35",Mediano,Poco Frecuente,
184,AMBAR VIAJES,TERRESTRE,"1,966.67",,,,,,,,,,,,"1,966.67",Mediano,Poco Frecuente,
185,VITTCORDOBA,AÉREO,"5,925.48",145.50,,,,,,"1,767.16",,,,,"7,838.15",Mediano,Poco Frecuente,
186,JULIETA BISTACCO,AÉREO,"5,110.48",12.00,,,,,,,,"1,731.20",238.66,657.44,"7,749.78",Mediano,Frecuente,
187,EURASIA TURISMO,TERRESTRE,205.37,,,"1,072.25",,,"5,035.56",,,"1,271.26",,,"7,584.44",Mediano,Poco Frecuente,
188,SIDDARTHA VIAJES,AÉREO,,,,,,,,,,,"1,071.18",,"1,071.18",Pequeño,Poco Frecuente,
189,SIDDARTHA VIAJES,TERRESTRE,,85.65,,,"1,754.00","1,677.00",,,,,"2,669.54",,"6,186.19",Mediano,Poco Frecuente,
190,CURUNDU VIAJES,AÉREO,"2,151.37",581.32,,,,,,,,,,,"2,732.69",Mediano,Poco Frecuente,
191,CURUNDU VIAJES,TERRESTRE,766.49,,,,,"1,135.67","2,460.14",,,,,,"4,362.30",Mediano,Poco Frecuente,
192,BABILONIA VIAJES Y TUR,TERRESTRE,"2,362.50",,,"2,424.78",,,,"2,288.19",,,,,"7,075.47",Mediano,Poco Frecuente,
193,OBRA SOCIAL DE DOCENTE,AÉREO,"2,632.74","1,761.89",,,,,,,,896.45,"1,198.18",578.11,"7,067.36",Mediano,Frecuente,
194,UNICORNIO,AÉREO,"6,728.17",,,,,,,,,204.74,,,"6,932.91",Mediano,Poco Frecuente,
195,PROMOS QUE VUELAN,AÉREO,"3,864.89",,,,,,,"1,538.83",,,,,"5,403.73",Mediano,Poco Frecuente,
196,PROMOS QUE VUELAN,TERRESTRE,,,,,,841.00,,,,,,,841.00,Pequeño,Poco Frecuente,
197,REEF TURISMO,AÉREO,12.64,,,,,,,,,,,,12.64,Pequeño,Poco Frecuente,
198,REEF TURISMO,TERRESTRE,467.00,,,,,,,"2,485.39","1,484.70",,,"1,779.00","6,216.09",Mediano,Poco Frecuente,
199,SONDELA VIAJES,AÉREO,"3,289.45",,,,,,,,,,,,"3,289.45",Mediano,Poco Frecuente,
200,SONDELA VIAJES,TERRESTRE,"2,935.53",,,,,,,,,,,,"2,935.53",Mediano,Poco Frecuente,
201,VEDELAGO VIAJES Y TURI,TERRESTRE,"3,650.34",,,,,,"2,435.23",,,,,,"6,085.57",Mediano,Poco Frecuente,
202,ZUNINO TURISMO,AÉREO,"4,195.97","1,322.51",,,,354.64,,,,74.08,,,"5,947.19",Mediano,Poco Frecuente,
203,MARA VIAJES Y TURISMO,AÉREO,,,,,,"1,242.17",,,,,,,"1,242.17",Pequeño,Poco Frecuente,
204,MARA VIAJES Y TURISMO,TERRESTRE,,,,,,"1,342.00","3,252.74",,,,,,"4,594.74",Mediano,Poco Frecuente,
205,TISSERAVIAJES.COM,AÉREO,,,,,,"2,744.66",,,,,,,"2,744.66",Mediano,Poco Frecuente,
206,TISSERAVIAJES.COM,TERRESTRE,,,,,,"3,080.00",,,,,,,"3,080.00",Mediano,Poco Frecuente,
207,HIMALAYA SALTA,TERRESTRE,,,,,,"3,116.00",,,,"1,895.00",670.68,,"5,681.68",Mediano,Poco Frecuente,
208,DOPAZO & RAVENNA VIAJE,AÉREO,"5,622.00",,,,,,,,,,,,"5,622.00",Mediano,Poco Frecuente,
209,POLUX VIAJES Y TURISMO,AÉREO,,,,,,"2,189.69",,,,,,,"2,189.69",Mediano,Poco Frecuente,
210,POLUX VIAJES Y TURISMO,TERRESTRE,,,,,,,,,"3,265.93",,,,"3,265.93",Mediano,Poco Frecuente,
211,CHIPRE TOUR,TERRESTRE,,,,,,,,"2,113.62","3,328.07",,,,"5,441.69",Mediano,Poco Frecuente,
212,LO MEJOR EMPRESA DE VI,AÉREO,"3,366.83","1,325.62",,,686.14,,,,,,,,"5,378.59",Mediano,Poco Frecuente,
213,VAMOS VIAJES Y TURISMO,AÉREO,"1,749.03","3,517.17",,,,,,,,,,,"5,266.20",Mediano,Poco Frecuente,
214,TAIPEI - SANDRA HADDAD,AÉREO,"1,041.27",,,,,,,,"2,991.59","1,013.18",,,"5,046.04",Mediano,Poco Frecuente,
215,CESAR GIULIANI VIAJES,AÉREO,"2,575.55","2,416.04",,,,,,,,,,,"4,991.58",Mediano,Poco Frecuente,
216,BATIA VIAJES Y TURISMO,AÉREO,"4,894.94",94.14,,,,,,,,,,,"4,989.09",Mediano,Poco Frecuente,
217,GROSSO VACANZE,TERRESTRE,,"4,931.00",,,,,,,,,,,"4,931.00",Mediano,Poco Frecuente,
218,ANDUMA VIAJES Y TURISM,TERRESTRE,,,,,"1,973.79","2,838.00",,,,,,,"4,811.79",Mediano,Poco Frecuente,
219,CITADEL VIAJES EVT,AÉREO,"2,799.19","1,011.48",,,,,,,,,,,"3,810.67",Mediano,Poco Frecuente,
220,CITADEL VIAJES EVT,TERRESTRE,786.15,158.01,,,,,,,,,,,944.16,Pequeño,Poco Frecuente,
221,LOZADA VIAJES BOFFELLI,AÉREO,,,,,"4,677.69",,,,,,,,"4,677.69",Mediano,Poco Frecuente,
222,PLEASURE TOURS,AÉREO,"1,884.05","2,702.23",,,,,,,,,,,"4,586.28",Mediano,Poco Frecuente,
223,BATTIATO TRAVEL,AÉREO,"1,155.87","2,051.21",4.99,,,,,,,925.33,427.07,,"4,564.46",Mediano,Poco Frecuente,
224,VIAJES TDH PABLO ABRAT,AÉREO,,,979.37,,,,,,,,,,979.37,Pequeño,Poco Frecuente,
225,VIAJES TDH PABLO ABRAT,TERRESTRE,,,,,,,,"3,544.01",,,,,"3,544.01",Mediano,Poco Frecuente,
226,PROCOM IT SOLUTIONS S.,AÉREO,437.76,"3,645.31",,,,,,,,,,,"4,083.07",Mediano,Poco Frecuente,
227,PROCOM IT SOLUTIONS S.,TERRESTRE,199.12,190.63,,,,,,,,,,,389.75,Pequeño,Poco Frecuente,
228,VIRGINIA RUI TURISMO,TERRESTRE,,,,,,,,,,"4,451.34",,,"4,451.34",Mediano,Poco Frecuente,
229,OLALA VIAJES,TERRESTRE,"4,430.00",,,,,,,,,,,,"4,430.00",Mediano,Poco Frecuente,
230,TAKE ME TOURS,AÉREO,"2,851.98",,,,,,,,,,"1,463.37",,"4,315.35",Mediano,Poco Frecuente,
231,RIBONE VIAJES,TERRESTRE,,,"4,279.81",,,,,,,,,,"4,279.81",Mediano,Poco Frecuente,
232,ONE TRIP FUERZA AEREA,AÉREO,,,,,,794.32,,,,,,621.52,"1,415.84",Pequeño,Poco Frecuente,
233,ONE TRIP FUERZA AEREA,TERRESTRE,"2,833.34",25.00,,,,,,,,,,,"2,858.34",Mediano,Poco Frecuente,
234,AR CONSULTORES SRL,AÉREO,"2,890.39",,,,,,,,"1,232.92",,,,"4,123.31",Mediano,Poco Frecuente,
235,SINDICATO REGIONAL DE,AÉREO,"2,661.24",744.99,,,,,,,,,,714.24,"4,120.48",Mediano,Poco Frecuente,
236,PRETTI TOURS,AÉREO,"1,672.06",,,,,,,,,,,,"1,672.06",Mediano,Poco Frecuente,
237,PRETTI TOURS,TERRESTRE,"2,448.09",,,,,,,,,,,,"2,448.09",Mediano,Poco Frecuente,
238,KOCH JUAN ALBERTO,AÉREO,,,,,,,,,,,"4,083.22",,"4,083.22",Mediano,Poco Frecuente,
239,ALMAR VIAJES,AÉREO,"1,174.98",,,,,,,,,,,,"1,174.98",Pequeño,Poco Frecuente,
240,ALMAR VIAJES,TERRESTRE,643.08,,,"2,056.82",,,,,,,,,"2,699.90",Mediano,Poco Frecuente,
241,VICTORIA GRUNIG,TERRESTRE,,,"1,347.00",,,"2,421.99",,,,,,,"3,768.99",Mediano,Poco Frecuente,
242,CORDOBA INVERSIONES VI,AÉREO,"1,247.69",,,,,,,,,"1,704.48",753.76,,"3,705.93",Mediano,Poco Frecuente,
243,YO AMO VIAJAR,AÉREO,"2,994.79",698.98,,,,,,,,,,,"3,693.76",Mediano,Poco Frecuente,
244,BABEL VIAJES VICENTE L,AÉREO,,,,,,"3,256.30",425.78,,,,,,"3,682.09",Mediano,Poco Frecuente,
245,CLUB MATIENZO MUTUAL S,AÉREO,,,,,,,,,,,,742.58,742.58,Pequeño,Poco Frecuente,
246,CLUB MATIENZO MUTUAL S,TERRESTRE,487.91,,,,,,"1,355.51",,,,,919.29,"2,762.71",Mediano,Poco Frecuente,
247,CAMELOT VIAJES Y SERVI,AÉREO,"1,740.00",,,,,,,,,,,,"1,740.00",Mediano,Poco Frecuente,
248,CAMELOT VIAJES Y SERVI,TERRESTRE,"1,712.72",,,,,,,,,,,,"1,712.72",Pequeño,Poco Frecuente,
249,GARDELLA VIAJES,TERRESTRE,,,"3,407.03",,,,,,,,,,"3,407.03",Mediano,Poco Frecuente,
250,FRIEDRICH,AÉREO,287.51,600.00,,,,,,58.39,,"2,150.89",171.96,,"3,268.75",Mediano,Frecuente,Contactar
251,ALIAR VIAJES,AÉREO,330.20,,,,,,,,,"1,012.44",,"1,860.15","3,202.79",Mediano,Poco Frecuente,
252,DUBAI VIAJES,TERRESTRE,,"3,171.69",,,,,,,,,,,"3,171.69",Mediano,Poco Frecuente,
253,MOYA DANIELA (E),AÉREO,"1,542.27",,,,,,,,,,,,"1,542.27",Mediano,Poco Frecuente,
254,MOYA DANIELA (E),TERRESTRE,"1,584.00",,,,,,,,,,,,"1,584.00",Pequeño,Poco Frecuente,
255,MARTIN FERRO VIAJES,AÉREO,"1,442.04",,,,,,,,,,,,"1,442.04",Pequeño,Poco Frecuente,
256,MARTIN FERRO VIAJES,TERRESTRE,,,,,"1,675.95",,,,,,,,"1,675.95",Pequeño,Poco Frecuente,
257,HIMALAYA JARDIN,AÉREO,442.27,,,,,,,,,,,,442.27,Pequeño,Poco Frecuente,
258,HIMALAYA JARDIN,TERRESTRE,827.69,,,45.06,,,,,,,"1,681.54",,"2,554.29",Mediano,Poco Frecuente,
259,GEOMUNDO,AÉREO,"1,769.33",705.76,,,,,,,,,,459.45,"2,934.54",Mediano,Poco Frecuente,
260,GEOMUNDO,TERRESTRE,,,,,,,,,,,42.15,,42.15,Pequeño,Poco Frecuente,
261,SAINT TROPEZ TURISMO,AÉREO,,,,,,,,,,,"2,962.43",,"2,962.43",Mediano,Poco Frecuente,
262,REISELAND VIAJES,TERRESTRE,,"2,911.75",,,,,,,,,,,"2,911.75",Mediano,Poco Frecuente,
263,WILLY FOG TURISMO,AÉREO,"2,837.22",,,,,,,,,,,,"2,837.22",Mediano,Poco Frecuente,
264,SILVESTRI GABRIELA FER,AÉREO,"1,754.86",958.90,,,,,,,,,,,"2,713.76",Mediano,Poco Frecuente,
265,SILVESTRI GABRIELA FER,TERRESTRE,,24.55,,,,,,,,,,,24.55,Pequeño,Poco Frecuente,
266,LOZADA VIAJES FRANQUIC,TERRESTRE,"2,626.00",,,,,,,,,,,,"2,626.00",Mediano,Poco Frecuente,
267,DAVID HECTOR HUGO,TERRESTRE,,,,,"2,600.00",,,,,,,,"2,600.00",Mediano,Poco Frecuente,
268,GANESHA VIAJES (E),AÉREO,,,,,522.76,,,,"1,074.45",993.00,,,"2,590.21",Mediano,Poco Frecuente,
269,ALALAY VIAJES,TERRESTRE,,,0.00,,,,,,"2,486.73",,,,"2,486.73",Mediano,Poco Frecuente,
270,LAS ROSAS TRAVEL,AÉREO,,,,,,,,,,,153.56,"1,125.63","1,279.19",Pequeño,Poco Frecuente,
271,LAS ROSAS TRAVEL,TERRESTRE,,,,,,"1,107.00",,,,,,,"1,107.00",Pequeño,Poco Frecuente,
272,CAIL VIAJES PILAR,TERRESTRE,,,,,,,,,,"2,318.30",,,"2,318.30",Mediano,Poco Frecuente,
273,SOCIEDAD COSMOPOLITA D,AÉREO,"1,339.14",,,,,,,,,,478.35,,"1,817.49",Mediano,Poco Frecuente,
274,SOCIEDAD COSMOPOLITA D,TERRESTRE,,,,,,,,,,,468.64,,468.64,Pequeño,Poco Frecuente,
275,BELVISO,AÉREO,,858.26,,,,,,"1,384.54",,32.64,,,"2,275.44",Mediano,Poco Frecuente,
276,EMPRENDER VIAJES SRL,AÉREO,,,,,,850.31,,,,,,,850.31,Pequeño,Poco Frecuente,
277,EMPRENDER VIAJES SRL,TERRESTRE,391.94,,,,,895.88,,,,120.43,,,"1,408.25",Pequeño,Poco Frecuente,
278,NANTES TOUR,TERRESTRE,,,,,,,,,,"2,249.00",,,"2,249.00",Mediano,Poco Frecuente,
279,BIZANCIO TURISMO,AÉREO,"1,373.24",,,,,,,,,,,,"1,373.24",Pequeño,Poco Frecuente,
280,BIZANCIO TURISMO,TERRESTRE,,,,869.05,,,,,,,,,869.05,Pequeño,Poco Frecuente,
281,VICTORIA GRUNIG ** NO,TERRESTRE,,,,,,"2,228.27",,,,,,,"2,228.27",Mediano,Poco Frecuente,
282,COR TRAVEL,AÉREO,54.86,92.95,,,,,,,,,"2,074.84",,"2,222.66",Mediano,Poco Frecuente,
283,LUCIANO SANTILLAN FRAN,AÉREO,,,,,,,,,,,471.09,,471.09,Pequeño,Poco Frecuente,
284,LUCIANO SANTILLAN FRAN,TERRESTRE,582.97,269.36,,,,,,,,,754.47,93.07,"1,699.88",Pequeño,Poco Frecuente,
285,"QUILINDRO, MABEL REGIN",AÉREO,,,,,,,,,,"1,161.69",,,"1,161.69",Pequeño,Poco Frecuente,
286,"QUILINDRO, MABEL REGIN",TERRESTRE,,,,,,,,,,964.95,,,964.95,Pequeño,Poco Frecuente,
287,TRINITY VIAJES,TERRESTRE,,,,,,,,,,,983.00,"1,046.79","2,029.79",Mediano,Poco Frecuente,
288,ASOCIACION MUTUAL DE G,AÉREO,,,,,,,,"1,595.00",,,,,"1,595.00",Mediano,Poco Frecuente,
289,ASOCIACION MUTUAL DE G,TERRESTRE,,,,,,,,325.31,,,,,325.31,Pequeño,Poco Frecuente,
290,CONTI Y SCHIERANO  VIA,AÉREO,"1,897.33",,,,,,,,,,,,"1,897.33",Mediano,Poco Frecuente,
291,LEONI GRACIELA BEATRIZ,AÉREO,,,,,,,,,,,"1,151.62",,"1,151.62",Pequeño,Poco Frecuente,
292,LEONI GRACIELA BEATRIZ,TERRESTRE,,,,,,,,,,,681.59,,681.59,Pequeño,Poco Frecuente,
293,ASTROS OPERADOR DE TUR,TERRESTRE,"1,804.90",,,,,,,,,,,,"1,804.90",Mediano,Poco Frecuente,
294,AT SAN JOSE DE METAN,TERRESTRE,,,,,,,,,,,"1,731.00",,"1,731.00",Pequeño,Poco Frecuente,
295,DE ELLIOTT VIAJES,TERRESTRE,,,,,,,,,,,"1,724.99",,"1,724.99",Pequeño,Poco Frecuente,
296,NOESAN VIAJES,AÉREO,,,,,,,,,,"1,636.08",,,"1,636.08",Mediano,Poco Frecuente,
297,LOZADA RUBIO SIRI,TERRESTRE,,"1,598.50",,,,,,,,,,,"1,598.50",Pequeño,Poco Frecuente,
298,PERU A TRAVEL,TERRESTRE,,"1,598.00",,,,,,,,,,,"1,598.00",Pequeño,Poco Frecuente,
299,Gonzalo Andres Sosa,TERRESTRE,,,,,,,,,,"1,474.44",85.52,,"1,559.96",Pequeño,Poco Frecuente,
300,"BARRIENTOS, BRUNO ANDR",AÉREO,,,,,,,,,,794.62,,,794.62,Pequeño,Poco Frecuente,
301,"BARRIENTOS, BRUNO ANDR",TERRESTRE,,,,,,,,,,752.39,,,752.39,Pequeño,Poco Frecuente,
302,"BARRIENTOS, FRANCISCO",AÉREO,,,,,,,,,,794.62,,,794.62,Pequeño,Poco Frecuente,
303,"BARRIENTOS, FRANCISCO",TERRESTRE,,,,,,,,,,752.39,,,752.39,Pequeño,Poco Frecuente,
304,GADEA VIAJES,AÉREO,"1,487.28",,,,,,,,,,,,"1,487.28",Mediano,Poco Frecuente,
305,TRAVEL SOLUTIONS,AÉREO,"1,126.58",313.62,,,,,,,,,,,"1,440.20",Pequeño,Poco Frecuente,
306,Bonugli Mónica Nelida,TERRESTRE,,,,,,,,,"1,418.00",,,,"1,418.00",Pequeño,Poco Frecuente,
307,PETITTI FABIANA ANDREA,TERRESTRE,,,,,,,,,"1,418.00",,,,"1,418.00",Pequeño,Poco Frecuente,
308,PEDRETTI ESTEBAN,TERRESTRE,,,,,,,,,,,"1,374.91",,"1,374.91",Pequeño,Poco Frecuente,
309,"BARRIENTOS, MAURO SEBA",AÉREO,,,,,,,,,,754.44,,,754.44,Pequeño,Poco Frecuente,
310,"BARRIENTOS, MAURO SEBA",TERRESTRE,,,,,,,,,,603.81,,,603.81,Pequeño,Poco Frecuente,
311,LONGOBARDI MARIANO,AÉREO,"1,312.56",,,,,,,,,,,,"1,312.56",Pequeño,Poco Frecuente,
312,ONE TRIP DE HERNANDO,TERRESTRE,,,,,,,,,,"1,285.44",,,"1,285.44",Pequeño,Poco Frecuente,
313,ONE TRIP CENTRO 2,AÉREO,"1,264.33",,,,,,,,,,,,"1,264.33",Pequeño,Poco Frecuente,
314,//NO FACTURAR// TRAVEL,AÉREO,,,,,,,,,,,"1,225.84",,"1,225.84",Pequeño,Poco Frecuente,
315,WORLD TRAVEL MOMENTUM,TERRESTRE,,,,,"1,216.00",,,,,,,,"1,216.00",Pequeño,Poco Frecuente,
316,ASOCIACION MUTUAL SPOR,TERRESTRE,,,,,"1,201.00",,,,,,,,"1,201.00",Pequeño,Poco Frecuente,
317,LOZADA VIAJES SAN VICE,TERRESTRE,"1,180.11",,,,,,,,,,,,"1,180.11",Pequeño,Poco Frecuente,
318,SAINZ GRISELDA PAULINA,TERRESTRE,,,,,,,,,,,"1,167.75",,"1,167.75",Pequeño,Poco Frecuente,
319,MERCADAL NANCY FRANCIS,TERRESTRE,,,,,,,,,,,"1,167.75",,"1,167.75",Pequeño,Poco Frecuente,
320,ZONA HORARIA,AÉREO,,,,,,,,,,81.30,617.92,63.58,762.80,Pequeño,Poco Frecuente,
321,ZONA HORARIA,TERRESTRE,,,,,,,,,,,383.06,,383.06,Pequeño,Poco Frecuente,
322,SILVIA LILIANA GONOROW,TERRESTRE,"1,069.43",,,,,,,,,,,,"1,069.43",Pequeño,Poco Frecuente,
323,Luis Alberto Giambarto,AÉREO,,,,,,,,,,282.39,,,282.39,Pequeño,Poco Frecuente,
324,Luis Alberto Giambarto,TERRESTRE,,,,,,,,,,726.47,,,726.47,Pequeño,Poco Frecuente,
325,CLASE TURISTA,AÉREO,,,,,,,,,,,"1,005.64",,"1,005.64",Pequeño,Poco Frecuente,
326,"MORONI, GLORIA GRACIEL",AÉREO,,,,,,,,,458.12,,,,458.12,Pequeño,Poco Frecuente,
327,"MORONI, GLORIA GRACIEL",TERRESTRE,,,,,,,,,545.32,,,,545.32,Pequeño,Poco Frecuente,
328,RAF TURISMO,AÉREO,992.28,,,,,,,,,,,,992.28,Pequeño,Poco Frecuente,
329,BACCILE NICOLAS,AÉREO,,,,,,,,,428.57,,,,428.57,Pequeño,Poco Frecuente,
330,BACCILE NICOLAS,TERRESTRE,,,,,,,,,562.15,,,,562.15,Pequeño,Poco Frecuente,
331,OSPIA,AÉREO,,923.25,,,,,,,,,,,923.25,Pequeño,Poco Frecuente,
332,VANTAGE,TERRESTRE,,830.60,,,,,,,,,,,830.60,Pequeño,Poco Frecuente,
333,VIAJES TDH GRAL PAZ,AÉREO,573.04,,,,,,,,,,,,573.04,Pequeño,Poco Frecuente,
334,VIAJES TDH GRAL PAZ,TERRESTRE,,,,,254.27,,,,,,,,254.27,Pequeño,Poco Frecuente,
335,NOVO VENTO VIAJES,TERRESTRE,800.00,,,,,,,,,,,,800.00,Pequeño,Poco Frecuente,
336,BRAVO MICAELA BERENICE,AÉREO,,,,,,,,,,795.48,,,795.48,Pequeño,Poco Frecuente,
337,ONIRIA SERVICIOS TURIS,AÉREO,,,,,,,,,,,435.34,,435.34,Pequeño,Poco Frecuente,
338,ONIRIA SERVICIOS TURIS,TERRESTRE,,,,,,,,,,,359.03,,359.03,Pequeño,Poco Frecuente,
339,SAAVEDRA MAURICIO DANI,AÉREO,,,,,,,,,782.10,,,,782.10,Pequeño,Poco Frecuente,
340,LOS TERRONES,AÉREO,,,,,,,,,,,475.86,,475.86,Pequeño,Poco Frecuente,
341,LOS TERRONES,TERRESTRE,,,,,,,,,,,299.73,,299.73,Pequeño,Poco Frecuente,
342,LAMBERT TURISMO,TERRESTRE,,,,,,,,,731.96,,,,731.96,Pequeño,Poco Frecuente,
343,BELLO MUNDO,AÉREO,716.00,,,,,,,,,,,,716.00,Pequeño,Poco Frecuente,
344,MUGNAINI MARIANA NOELI,TERRESTRE,,,,,,,,,,,713.70,,713.70,Pequeño,Poco Frecuente,
345,TOULOUSE VIAJES,AÉREO,,,,,,,,,,,684.98,,684.98,Pequeño,Poco Frecuente,
346,VALDIVIA FERNANDO ARTU,AÉREO,,,,,,,,,,661.87,,,661.87,Pequeño,Poco Frecuente,
347,FC TRAVEL,TERRESTRE,,,,,,,,,644.26,,,,644.26,Pequeño,Poco Frecuente,
348, UNION TRABAJADORES DE,AÉREO,,,,,,,,,,,,642.34,642.34,Pequeño,Poco Frecuente,
349,//NO USAR// CITADEL VI,TERRESTRE,,,512.05,53.25,,,,,,,,,565.30,Pequeño,Poco Frecuente,
350,ANTONIETTI VIAJES,TERRESTRE,561.29,,,,,,,,,,,,561.29,Pequeño,Poco Frecuente,
351,ROMERO JURI VIAJES,TERRESTRE,,,,,,,,,,,,556.70,556.70,Pequeño,Poco Frecuente,
352,ABORDO VIAJES Y TURISM,AÉREO,536.54,,,,,,,,,,,,536.54,Pequeño,Poco Frecuente,
353,ALVAREZ  ROZAS MARIA G,AÉREO,,,,,,,,,,,523.80,,523.80,Pequeño,Poco Frecuente,
354,HIMALAYA VIAJES CENTRO,AÉREO,417.94,,,,,,,,,,,,417.94,Pequeño,Poco Frecuente,
355,HIMALAYA VIAJES CENTRO,TERRESTRE,,83.53,,,,,,,,,,,83.53,Pequeño,Poco Frecuente,
356,YO HUESPED VIAJES Y TU,TERRESTRE,,491.25,,,,,,,,,,,491.25,Pequeño,Poco Frecuente,
357,NO USAR ** SB CONSULTO,AÉREO,,,,,,,,,,,353.64,129.95,483.59,Pequeño,Poco Frecuente,
358,SOBERBIO OSVLADO RODOL,TERRESTRE,,,,,,,,,,,468.33,,468.33,Pequeño,Poco Frecuente,
359,BERLIN VIAJES,TERRESTRE,,,,,,,,,,467.23,,,467.23,Pequeño,Poco Frecuente,
360,CLYDE RUIZ,TERRESTRE,,,,,,,,,,,448.29,,448.29,Pequeño,Poco Frecuente,
361,PASCUALE RAUL ALCIDES,AÉREO,,,,,,,,,,,438.40,,438.40,Pequeño,Poco Frecuente,
362,CASTRO RIMONDINO FRANQ,AÉREO,,,,,,,,,,,,424.30,424.30,Pequeño,Poco Frecuente,
363,Paola Soledad Bossio,AÉREO,,,,,,,,,,392.87,,,392.87,Pequeño,Poco Frecuente,
364,TIMON VIAJES,AÉREO,,301.71,,,,,,,,,,,301.71,Pequeño,Poco Frecuente,
365,TIME2 TRAVEL - MONICA,AÉREO,290.14,,,,,,,,,,,,290.14,Pequeño,Poco Frecuente,
366,MUTUAL CLUB TIRO FED Y,TERRESTRE,289.04,,,,,,,,,,,,289.04,Pequeño,Poco Frecuente,
367,CLUB ATLETICO TALLERES,AÉREO,,281.98,,,,,,,,,,,281.98,Pequeño,Poco Frecuente,
368,INTI JET EVT,AÉREO,275.08,,,,,,,,,,,,275.08,Pequeño,Poco Frecuente,
369,SB CONSULTORA,AÉREO,,225.36,,,,,,,,,,,225.36,Pequeño,Poco Frecuente,
370,Cristián Rafael Flores,TERRESTRE,,,,,,,,,,,223.57,,223.57,Pequeño,Poco Frecuente,
371,FAENZA VIAJES Y TURISM,AÉREO,,218.98,,,,,,,,,,,218.98,Pequeño,Poco Frecuente,
372,CUYUN - CO,TERRESTRE,171.41,,,,,,,,,,,,171.41,Pequeño,Poco Frecuente,
373,CARINTHIA VIAJES,TERRESTRE,168.00,,,,,,,,,,,,168.00,Pequeño,Poco Frecuente,
374,BITACORA SUDAMERICANA,TERRESTRE,146.62,,,,,,,,,,,,146.62,Pequeño,Poco Frecuente,
375,ALLENDE ENRIQUE,AÉREO,140.42,,,,,,,,,,,,140.42,Pequeño,Poco Frecuente,
376,VIAJES TDH ONCATIVO -,TERRESTRE,127.00,,,,,,,,,,,,127.00,Pequeño,Poco Frecuente,
377,ESCANDELL MICAELA ROLD,AÉREO,,,,,,,,,,,111.24,,111.24,Pequeño,Poco Frecuente,
378,ARTESAN - VIAJES A MED,TERRESTRE,,110.64,,,,,,,,,,,110.64,Pequeño,Poco Frecuente,
379,MIDLAND TRAVEL,AÉREO,104.50,,,,,,,,,,,,104.50,Pequeño,Poco Frecuente,
380,CRISTINA CASTAÑOS (E),AÉREO,89.72,,,,,,,,,,,,89.72,Pequeño,Poco Frecuente,
381,ADN TRAVEL JUJUY,AÉREO,,,,,,,,,85.44,,,,85.44,Pequeño,Poco Frecuente,
382,BALEARES VIAJES Y TURI,TERRESTRE,81.00,,,,,,,,,,,,81.00,Pequeño,Poco Frecuente,
383,FAZU VIAJES,TERRESTRE,,25.84,,,,,,,,,,,25.84,Pequeño,Poco Frecuente,
384,EZEQUIEL TOLEDO FRANQU,TERRESTRE,,,24.55,,,,,,,,,,24.55,Pequeño,Poco Frecuente,
385,CONSUMIDOR FINAL BUE C,TERRESTRE,,,,,,,,,,,13.12,,13.12,Pequeño,Poco Frecuente,
386,DIV OPERADOR MAYORISTA,AÉREO,11.47,,,,,,,,,,,,11.47,Pequeño,Poco Frecuente,
387,DELFOS NO FACTURAR VIA,TERRESTRE,,0.00,,,,,,,,,,,0.00,Pequeño,Poco Frecuente,
388,,,,,,,,,,,,,,,,,Poco Frecuente,
389,,,,,,,,,,,,,,,,,Poco Frecuente,
390,,,,,,,,,,,,,,,,,Poco Frecuente,
391,,,,,,,,,,,,,,,,,Poco Frecuente,
392,,,,,,,,,,,,,,,,,Poco Frecuente,
393,,,,,,,,,,,,,,,,,Poco Frecuente,
394,,,,,,,,,,,,,,,,,Poco Frecuente,
395,,,,,,,,,,,,,,,,,Poco Frecuente,
396,,,,,,,,,,,,,,,,,Poco Frecuente,
